id,first_name,last_name,age,parent_1,parent_1 occupation,parent_1_education,parent_2,parent_2_education,parent_2_occupation,phone,household_income,number_siblings,other_household_members,mode_transport,attendance,days_membership,school_tardiness,after_school,after_school_external,primary_student_language,primary_household_language,at_risk,homeless,special_education,state_agencies_involved,reduced_lunch,suspensions,mcas,reading_levels,attended-preschool,graduated,student-degree,college_major
61953071,Farrell,Dowdam,13,Ursuline,Office,associate,Lincoln,associate,Other,978-566-4093,$100000 to $149999,1,,car,180,180,0,,,english,english,,,,,TRUE,,NI,Partially_Meeting,,,,
94539742,Mae,Bazelle,16,Rachel,Other,none,,,,978-158-4549,$100000 to $149999,3,,car,180,180,0,,,english,english,,,,,TRUE,,P,,TRUE,,,
43022978,Amby,Abramovitz,17,Zorana,Sales,none,Iggie,bachelor's,Science,978-284-2780,$150000 or more,2,,bike,180,180,0,,,spanish,spanish,,,,,,,P,Partially_Meeting,TRUE,,,
621693361,Zebulen,Marling,5,Abbe,,,Isa,,,978-120-4564,$150000 or more,0,,car,79,180,0,,,english,spanish,,,,,TRUE,,n/a,,,,,
24265284,Jarrett,Douse,17,Maddie,Management,associate,Sig,,,978-242-6905,$150000 or more,2,,bike,180,180,0,,,english,spanish,,,TRUE,,,,P,Partially_Meeting,,,,
89140211,Page,McBryde,11,Wilone,Management,none,Hale,none,Science,978-909-7048,$35000 to $49999,0,,car,180,180,0,,,english,english,,,,,,,NI,Partially_Meeting,TRUE,,,
89156041,Zeke,Powlesland,10,Nikaniki,Other,masters,,,,978-902-3118,$100000 to $149999,0,,car,180,180,0,,,,english,,,,,TRUE,,P,Not_Meeting,,,,
34884237,Amelina,Seeking,16,Ailee,Office,associate,Niven,none,,978-323-1896,$100000 to $149999,4,,car,180,180,0,,,,english,,,,,,,NI,Not_Meeting,TRUE,,,
56260478,Delcine,Van Der Weedenburg,16,Annadiane,Business,associate,Milo,associate,Science,978-079-1509,$100000 to $149999,3,2,car,48,180,0,,,spanish,english,,,,TRUE,,,P,Partially_Meeting,,,,
992745683,Katrinka,Seide,7,Samson,Service,trade,Jemie,Other,,978-077-0638,$75000 to $99999,1,,car,180,180,0,,,spanish,english,,,,,,n/a,,,,,,
