id,first_name,last_name,age,parent_1,parent_1 occupation,parent_1_education,parent_2,parent_2_education,parent_2_occupation,phone,household_income,number_siblings,other_household_members,mode_transport,attendance,days_membership,school_tardiness,after_school,after_school_external,primary_student_language,primary_household_language,at_risk,homeless,special_education,state_agencies_involved,reduced_lunch,suspensions,mcas,reading_levels,attended-preschool,graduated,student-degree,college_major
10641601,Kevin,Jugging,9,Dorolice,Sales,masters,Randolf,associate,Other,978-935-0007,$75000 to $99999,4,,car,124,180,0,TRUE,Discovery,english,english,,,,TRUE,TRUE,1,P,Not_Meeting,,,,
40865140,Spencer,Hobble,21,Mia,,associate,Quint,,,978-119-4901,$150000 or more,0,,bike,,,,,,spanish,english,,,,,,,,,,TRUE,,
92408707,Ingamar,Hazelby,18,Dori,Management,none,Judon,none,Business,978-424-1869,$100000 to $149999,4,,car,180,180,0,,,english,english,,TRUE,,,,,NI,Exceeding,,,,
82783332,Ives,Elldred,11,Minnnie,,associate,Silvan,none,Business,978-600-5083,$150000 or more,0,,car,180,180,0,,,,spanish,,,,,TRUE,,P,Partially_Meeting,,,,
50834040,Mario,Lengthorn,15,Dora,Other,associate,,,,978-456-0753,$50000 to $74999,0,,car,168,180,0,,,english,english,,,,,,1,W,Not_Meeting,TRUE,,,
98553544,Viviene,York,15,Vera,Office,associate,Augustine,none,Management,978-645-9665,$35000 to $49999,3,,car,180,180,0,,,spanish,english,,,,,TRUE,,P,Meeting,TRUE,,,
38842402,Cynthea,Giacovazzo,18,Harlie,Business,,,,,978-645-5086,$100000 to $149999,2,,car,179,180,0,,,english,english,TRUE,,,,TRUE,,P,Not_Meeting,,,,
97619495,Devlen,Stirman,15,Caralie,,,Ailbert,,Other,978-437-4994,$50000 to $74999,4,,bike,180,180,0,,,english,english,,,,,,1,NI,Not_Meeting,,,,
22895884,Phillipp,Friary,21,Nani,,associate,Gifford,,,978-773-9395,$100000 to $149999,4,,car,,,,,,spanish,english,,,,,,,,,TRUE,TRUE,,Proffesional Certificate
71837816,Ara,Cranna,8,Katlin,,none,Kendall,,Other,978-637-6082,$150000 or more,3,0,car,180,180,0,,,english,english,,,,,,1,,Partially_Meeting,,,,
14731075,Pamelina,Gorthy,13,Aurelea,Sales,associate,,,,978-102-8121,$100000 to $149999,3,4,car,180,180,0,,,english,spanish,,,,,,,NI,Meeting,,,,
9809068,Garth,Dunn,8,Kelcey,Science,none,Carly,associate,Sales,978-430-2799,$100000 to $149999,3,,car,180,180,0,,,spanish,english,,,,,TRUE,,P,Not_Meeting,,,,
78031740,Poul,Hradsky,14,Norri,Service,bachelor's,Uriah,bachelor's,Service,978-308-2528,$75000 to $99999,2,,bike,180,180,0,,,,english,,,,,,,NI,Not_Meeting,,,,
942429447,Lura,Heifer,6,Paxon,Construction,associate,Sherwin,,,978-275-4347,$150000 or more,1,,car,130,180,0,TRUE,,,english,,,,,,,n/a,,,,,
40495375,Roda,McMurraya,13,Gina,Production,,Fidelio,associate,,978-178-6565,$50000 to $74999,1,0,car,180,180,0,,,english,english,,,,,,1,P,Partially_Meeting,TRUE,,,
