id,first_name,last_name,age,parent_1,parent_1 occupation,parent_1_education,parent_2,parent_2_education,parent_2_occupation,phone,household_income,number_siblings,other_household_members,mode_transport,attendance,days_membership,school_tardiness,after_school,after_school_external,primary_student_language,primary_household_language,at_risk,homeless,special_education,state_agencies_involved,reduced_lunch,suspensions,mcas,reading_levels,attended-preschool,graduated,student-degree,college_major
84806424,Norina,Ayer,14,Gussy,Office,none,,,,978-336-1807,$15000 to $19999,1,,walk,180,180,0,,,english,spanish,,,,,,,P,,,,,
107046556,Fionnula,Madre,5,Haywood,,,,,Sales,978-364-9313,$100000 to $149999,3,,car,180,180,0,TRUE,Discovery,english,english,,,TRUE,,TRUE,,n/a,,,,,
75018722,Karrah,Gocher,19,Danyelle,Science,bachelor's,Ric,associate,Other,978-799-8520,$100000 to $149999,1,,bike,,,,,,spanish,english,,,,,,,,,,TRUE,,
29169902,Tatiana,Wildber,18,Lorry,Maintenance,none,Richard,associate,,978-784-1540,$100000 to $149999,1,,car,180,180,0,,,spanish,english,,,,,,,NI,Not_Meeting,TRUE,,,
92980739,Gretna,Goricke,8,Kaycee,Office,associate,Seward,none,Construction,978-478-5285,$50000 to $74999,2,2,car,180,180,0,,,english,english,,,,,TRUE,,W,Partially_Meeting,TRUE,,,
714570,Lorens,Pickover,8,Harrietta,,masters,Chicky,,,978-013-7655,$100000 to $149999,3,,car,180,180,0,,,english,english,,,,,TRUE,,NI,Partially_Meeting,,,,
20741694,Shana,Byres,10,Dahlia,,associate,,,,978-182-2070,$100000 to $149999,2,,car,180,180,0,,,english,english,TRUE,,TRUE,,,,NI,Meeting,,,,
93773403,Gaspard,Branchett,15,Elinor,,associate,,,,978-331-4537,$150000 or more,1,,car,180,180,0,,,spanish,english,,,,TRUE,TRUE,,P,Not_Meeting,,,,
698695726,Linell,Ellerby,5,Carlin,Other,bachelor's,Hillary,,Management,978-026-5455,$75000 to $99999,1,,walk,555,180,0,,,english,spanish,,TRUE,,,TRUE,,n/a,,,,,
11604547,Doug,Lawrey,14,,Service,none,,,,978-942-1566,$50000 to $74999,3,,car,180,180,0,,,english,english,,,,,TRUE,,W,Not_Meeting,TRUE,,,
76301858,Cale,Tennet,15,Winni,Construction,none,Errol,associate,,978-403-7396,$150000 or more,3,,car,65,180,0,,,english,english,,,,,TRUE,,,Not_Meeting,TRUE,,,
83584458,Scotti,Beachem,16,Marybelle,Office,none,Andreas,none,Office,978-594-9023,$15000 to $19999,0,,car,180,180,0,,,,spanish,,,,,TRUE,,NI,Not_Meeting,,,,
15464761,Brigitte,MacColgan,14,Ambur,,none,Fairfax,associate,,978-230-5927,$75000 to $99999,1,,car,180,180,0,,,english,english,,,,,TRUE,,P,Not_Meeting,TRUE,,,
47165203,Darius,Esposito,11,Sheri,,none,,,,978-806-6180,$35000 to $49999,1,2,car,180,180,4,,,spanish,english,,,,,TRUE,,NI,Not_Meeting,,,,
33972479,Aurie,Bowgen,7,Calli,Office,associate,Wainwright,associate,Science,978-085-4530,$25000 to $34999,3,,car,180,180,0,,,english,english,,,,,,,P,Not_Meeting,,,,
30490119,Eirena,Greatham,14,Murial,Sales,associate,Rutger,none,Science,978-999-8912,$150000 or more,0,,car,180,180,0,TRUE,Discovery,english,spanish,,,TRUE,TRUE,,,P,Not_Meeting,TRUE,,,
83725739,Peggi,Dobeson,19,Hilary,Sales,associate,Garrard,masters,Office,978-231-6660,$35000 to $49999,1,,walk,,,,,,,english,,,,,,,,,,TRUE,,
52843648,Myrilla,Domenicone,8,Vitoria,Office,trade,Franchot,none,Business,978-252-1822,$75000 to $99999,3,4,car,180,180,0,,,english,english,,,,,TRUE,,P,Not_Meeting,,,,
49572936,Merl,Ivins,7,Maxie,Science,associate,Emanuele,associate,Science,978-281-3123,$75000 to $99999,2,,car,180,180,0,,,english,spanish,,,,,,,P,Meeting,,,,
9805518,Averil,Chambers,18,Daisy,Business,none,,,,978-369-0983,$50000 to $74999,2,,car,180,180,0,,,spanish,english,,,,,,,P,Partially_Meeting,,,,
34434453,Tammie,Counihan,19,Milissent,Sales,none,Mar,none,,978-874-3406,$100000 to $149999,3,,car,,,,,,,english,,,,,,,,,TRUE,TRUE,,
60717781,Chickie,Garrud,7,Norean,Business,bachelor's,,,,978-445-5118,$35000 to $49999,0,,car,180,180,0,,,english,english,,,,TRUE,,,A,Not_Meeting,,,,
22047676,Weylin,Heggison,11,Brittni,Office,associate,Westbrooke,associate,Maintenance,978-789-0171,$75000 to $99999,3,,car,162,180,0,,,,english,,,TRUE,TRUE,TRUE,,NI,Not_Meeting,TRUE,,,
